plan: 4512 slices, 9.470B positions  [win/draw/loss WITH the fifty-move rule, 2 bits, mirror symmetry]
  tables                 2.20 GiB resident for the whole run
  largest slice          KQRBNkqrbn, 645.8M positions
   14.8%  3356/4512 slices  1.40B/9.47B positions  3.7M/s  6m elapsed, 36m left
   15.3%  3357/4512 slices  1.45B/9.47B positions  3.7M/s  6m elapsed, 36m left
   16.3%  3359/4512 slices  1.55B/9.47B positions  3.8M/s  7m elapsed, 35m left
   16.6%  3360/4512 slices  1.57B/9.47B positions  3.7M/s  7m elapsed, 35m left
   17.0%  3361/4512 slices  1.61B/9.47B positions  3.7M/s  7m elapsed, 36m left
   17.9%  3362/4512 slices  1.70B/9.47B positions  3.7M/s  8m elapsed, 35m left
   18.2%  3363/4512 slices  1.72B/9.47B positions  3.7M/s  8m elapsed, 35m left
   18.6%  3364/4512 slices  1.77B/9.47B positions  3.7M/s  8m elapsed, 35m left
   19.9%  3365/4512 slices  1.89B/9.47B positions  3.7M/s  8m elapsed, 34m left
   20.4%  3366/4512 slices  1.93B/9.47B positions  3.7M/s  9m elapsed, 34m left
   20.6%  3369/4512 slices  1.95B/9.47B positions  3.7M/s  9m elapsed, 34m left
   20.7%  3405/4512 slices  1.96B/9.47B positions  3.7M/s  9m elapsed, 34m left
   21.0%  3424/4512 slices  1.99B/9.47B positions  3.7M/s  9m elapsed, 34m left
   21.2%  3442/4512 slices  2.01B/9.47B positions  3.7M/s  9m elapsed, 34m left
   21.4%  3450/4512 slices  2.03B/9.47B positions  3.7M/s  9m elapsed, 33m left
   21.8%  3465/4512 slices  2.07B/9.47B positions  3.7M/s  9m elapsed, 33m left
   22.2%  3476/4512 slices  2.10B/9.47B positions  3.8M/s  9m elapsed, 33m left
   22.3%  3480/4512 slices  2.12B/9.47B positions  3.8M/s  9m elapsed, 33m left
   22.6%  3486/4512 slices  2.14B/9.47B positions  3.8M/s  9m elapsed, 32m left
   22.9%  3494/4512 slices  2.17B/9.47B positions  3.8M/s  10m elapsed, 32m left
   23.2%  3502/4512 slices  2.19B/9.47B positions  3.8M/s  10m elapsed, 32m left
   23.5%  3508/4512 slices  2.22B/9.47B positions  3.8M/s  10m elapsed, 32m left
   23.8%  3513/4512 slices  2.25B/9.47B positions  3.8M/s  10m elapsed, 32m left
   24.0%  3519/4512 slices  2.27B/9.47B positions  3.8M/s  10m elapsed, 32m left
   24.3%  3522/4512 slices  2.30B/9.47B positions  3.8M/s  10m elapsed, 32m left
   24.5%  3526/4512 slices  2.32B/9.47B positions  3.7M/s  10m elapsed, 32m left
   24.7%  3531/4512 slices  2.34B/9.47B positions  3.7M/s  10m elapsed, 32m left
   24.9%  3535/4512 slices  2.36B/9.47B positions  3.7M/s  11m elapsed, 32m left
   25.1%  3536/4512 slices  2.38B/9.47B positions  3.7M/s  11m elapsed, 32m left
   25.3%  3540/4512 slices  2.39B/9.47B positions  3.7M/s  11m elapsed, 32m left
   25.6%  3541/4512 slices  2.42B/9.47B positions  3.7M/s  11m elapsed, 31m left
   25.8%  3545/4512 slices  2.44B/9.47B positions  3.7M/s  11m elapsed, 31m left
   25.9%  3549/4512 slices  2.46B/9.47B positions  3.7M/s  11m elapsed, 31m left
   26.1%  3550/4512 slices  2.48B/9.47B positions  3.7M/s  11m elapsed, 31m left
   26.3%  3553/4512 slices  2.49B/9.47B positions  3.7M/s  11m elapsed, 31m left
   26.6%  3558/4512 slices  2.52B/9.47B positions  3.7M/s  11m elapsed, 31m left
   26.7%  3560/4512 slices  2.53B/9.47B positions  3.7M/s  11m elapsed, 31m left
   26.8%  3563/4512 slices  2.54B/9.47B positions  3.7M/s  12m elapsed, 31m left
   27.1%  3564/4512 slices  2.56B/9.47B positions  3.7M/s  12m elapsed, 31m left
   27.3%  3568/4512 slices  2.59B/9.47B positions  3.7M/s  12m elapsed, 31m left
   27.6%  3569/4512 slices  2.62B/9.47B positions  3.7M/s  12m elapsed, 31m left
   27.9%  3573/4512 slices  2.64B/9.47B positions  3.7M/s  12m elapsed, 31m left
   28.1%  3576/4512 slices  2.66B/9.47B positions  3.7M/s  12m elapsed, 31m left
   28.3%  3578/4512 slices  2.68B/9.47B positions  3.7M/s  12m elapsed, 31m left
   28.5%  3582/4512 slices  2.70B/9.47B positions  3.7M/s  12m elapsed, 31m left
   28.7%  3600/4512 slices  2.71B/9.47B positions  3.6M/s  12m elapsed, 31m left
   28.9%  3612/4512 slices  2.73B/9.47B positions  3.6M/s  12m elapsed, 31m left
   29.1%  3631/4512 slices  2.76B/9.47B positions  3.6M/s  13m elapsed, 31m left
   29.4%  3651/4512 slices  2.79B/9.47B positions  3.6M/s  13m elapsed, 31m left
   29.6%  3659/4512 slices  2.81B/9.47B positions  3.6M/s  13m elapsed, 31m left
   29.8%  3673/4512 slices  2.82B/9.47B positions  3.6M/s  13m elapsed, 31m left
   29.9%  3676/4512 slices  2.83B/9.47B positions  3.6M/s  13m elapsed, 31m left
   30.2%  3677/4512 slices  2.86B/9.47B positions  3.6M/s  13m elapsed, 30m left
   30.3%  3686/4512 slices  2.87B/9.47B positions  3.6M/s  13m elapsed, 30m left
   30.5%  3697/4512 slices  2.89B/9.47B positions  3.6M/s  13m elapsed, 30m left
   30.8%  3704/4512 slices  2.91B/9.47B positions  3.6M/s  13m elapsed, 30m left
