plan: 4512 slices, 9.470B positions  [win/draw/loss, 2 bits, mirror symmetry]
  tables                 2.20 GiB resident for the whole run
  largest slice          KQRBNkqrbn, 645.8M positions
   16.6%  3360/4512 slices  1.57B/9.47B positions  3.9M/s  7m elapsed, 34m left
   17.0%  3361/4512 slices  1.61B/9.47B positions  3.8M/s  7m elapsed, 34m left
   17.9%  3362/4512 slices  1.70B/9.47B positions  3.9M/s  7m elapsed, 34m left
   18.2%  3363/4512 slices  1.72B/9.47B positions  3.8M/s  7m elapsed, 34m left
   18.6%  3364/4512 slices  1.77B/9.47B positions  3.8M/s  8m elapsed, 33m left
   19.9%  3365/4512 slices  1.89B/9.47B positions  3.9M/s  8m elapsed, 33m left
   20.4%  3366/4512 slices  1.93B/9.47B positions  3.9M/s  8m elapsed, 32m left
   20.6%  3374/4512 slices  1.95B/9.47B positions  3.9M/s  8m elapsed, 32m left
   20.8%  3414/4512 slices  1.97B/9.47B positions  3.9M/s  8m elapsed, 32m left
   21.0%  3424/4512 slices  1.99B/9.47B positions  3.9M/s  9m elapsed, 32m left
   21.2%  3442/4512 slices  2.01B/9.47B positions  3.9M/s  9m elapsed, 32m left
   21.4%  3450/4512 slices  2.03B/9.47B positions  3.9M/s  9m elapsed, 32m left
   21.8%  3465/4512 slices  2.07B/9.47B positions  3.9M/s  9m elapsed, 32m left
   22.2%  3476/4512 slices  2.10B/9.47B positions  3.9M/s  9m elapsed, 31m left
   22.4%  3481/4512 slices  2.12B/9.47B positions  3.9M/s  9m elapsed, 31m left
   22.7%  3489/4512 slices  2.15B/9.47B positions  3.9M/s  9m elapsed, 31m left
   22.9%  3494/4512 slices  2.17B/9.47B positions  3.9M/s  9m elapsed, 31m left
   23.2%  3502/4512 slices  2.19B/9.47B positions  3.9M/s  9m elapsed, 31m left
   23.5%  3508/4512 slices  2.22B/9.47B positions  3.9M/s  9m elapsed, 31m left
   23.8%  3513/4512 slices  2.25B/9.47B positions  3.9M/s  10m elapsed, 31m left
   24.1%  3520/4512 slices  2.28B/9.47B positions  3.9M/s  10m elapsed, 31m left
   24.3%  3522/4512 slices  2.30B/9.47B positions  3.9M/s  10m elapsed, 30m left
   24.5%  3526/4512 slices  2.32B/9.47B positions  3.9M/s  10m elapsed, 30m left
   24.8%  3532/4512 slices  2.34B/9.47B positions  3.9M/s  10m elapsed, 30m left
   25.1%  3536/4512 slices  2.38B/9.47B positions  3.9M/s  10m elapsed, 30m left
   25.6%  3541/4512 slices  2.42B/9.47B positions  3.9M/s  10m elapsed, 30m left
   25.8%  3545/4512 slices  2.44B/9.47B positions  3.9M/s  10m elapsed, 30m left
   26.1%  3550/4512 slices  2.48B/9.47B positions  3.9M/s  11m elapsed, 30m left
   26.3%  3553/4512 slices  2.49B/9.47B positions  3.9M/s  11m elapsed, 30m left
   26.6%  3558/4512 slices  2.52B/9.47B positions  3.9M/s  11m elapsed, 30m left
   26.8%  3562/4512 slices  2.53B/9.47B positions  3.9M/s  11m elapsed, 30m left
   27.1%  3564/4512 slices  2.56B/9.47B positions  3.9M/s  11m elapsed, 30m left
   27.3%  3568/4512 slices  2.59B/9.47B positions  3.9M/s  11m elapsed, 30m left
   27.6%  3569/4512 slices  2.62B/9.47B positions  3.9M/s  11m elapsed, 29m left
   27.9%  3573/4512 slices  2.64B/9.47B positions  3.9M/s  11m elapsed, 29m left
   28.1%  3577/4512 slices  2.66B/9.47B positions  3.9M/s  11m elapsed, 29m left
   28.3%  3578/4512 slices  2.68B/9.47B positions  3.9M/s  12m elapsed, 29m left
   28.5%  3583/4512 slices  2.70B/9.47B positions  3.9M/s  12m elapsed, 29m left
   28.7%  3603/4512 slices  2.72B/9.47B positions  3.9M/s  12m elapsed, 29m left
   28.9%  3627/4512 slices  2.74B/9.47B positions  3.9M/s  12m elapsed, 29m left
   29.1%  3632/4512 slices  2.76B/9.47B positions  3.9M/s  12m elapsed, 29m left
   29.4%  3651/4512 slices  2.79B/9.47B positions  3.9M/s  12m elapsed, 29m left
   29.6%  3659/4512 slices  2.81B/9.47B positions  3.9M/s  12m elapsed, 29m left
   29.8%  3675/4512 slices  2.83B/9.47B positions  3.9M/s  12m elapsed, 29m left
   30.2%  3677/4512 slices  2.86B/9.47B positions  3.9M/s  12m elapsed, 29m left
   30.3%  3688/4512 slices  2.87B/9.47B positions  3.8M/s  12m elapsed, 29m left
   30.5%  3699/4512 slices  2.89B/9.47B positions  3.8M/s  13m elapsed, 29m left
   30.8%  3704/4512 slices  2.91B/9.47B positions  3.8M/s  13m elapsed, 28m left
   31.1%  3705/4512 slices  2.95B/9.47B positions  3.9M/s  13m elapsed, 28m left
   31.4%  3714/4512 slices  2.97B/9.47B positions  3.9M/s  13m elapsed, 28m left
   31.6%  3721/4512 slices  2.99B/9.47B positions  3.9M/s  13m elapsed, 28m left
   31.9%  3736/4512 slices  3.02B/9.47B positions  3.8M/s  13m elapsed, 28m left
   32.1%  3738/4512 slices  3.04B/9.47B positions  3.8M/s  13m elapsed, 28m left
   32.3%  3742/4512 slices  3.06B/9.47B positions  3.8M/s  13m elapsed, 28m left
   32.6%  3764/4512 slices  3.08B/9.47B positions  3.8M/s  13m elapsed, 28m left
   32.8%  3783/4512 slices  3.10B/9.47B positions  3.8M/s  13m elapsed, 28m left
   33.0%  3799/4512 slices  3.12B/9.47B positions  3.8M/s  14m elapsed, 28m left
   33.2%  3804/4512 slices  3.14B/9.47B positions  3.8M/s  14m elapsed, 27m left
   33.4%  3818/4512 slices  3.16B/9.47B positions  3.8M/s  14m elapsed, 27m left
   33.7%  3820/4512 slices  3.19B/9.47B positions  3.8M/s  14m elapsed, 27m left
   33.9%  3834/4512 slices  3.21B/9.47B positions  3.8M/s  14m elapsed, 27m left
   34.3%  3844/4512 slices  3.24B/9.47B positions  3.8M/s  14m elapsed, 27m left
   34.7%  3845/4512 slices  3.28B/9.47B positions  3.8M/s  14m elapsed, 27m left
   34.9%  3854/4512 slices  3.30B/9.47B positions  3.8M/s  14m elapsed, 27m left
   35.1%  3861/4512 slices  3.33B/9.47B positions  3.8M/s  14m elapsed, 27m left
   35.4%  3876/4512 slices  3.35B/9.47B positions  3.8M/s  15m elapsed, 27m left
   35.6%  3878/4512 slices  3.37B/9.47B positions  3.8M/s  15m elapsed, 27m left
   35.8%  3883/4512 slices  3.39B/9.47B positions  3.8M/s  15m elapsed, 26m left
   36.0%  3904/4512 slices  3.41B/9.47B positions  3.8M/s  15m elapsed, 26m left
   36.3%  3924/4512 slices  3.44B/9.47B positions  3.8M/s  15m elapsed, 26m left
   36.6%  3937/4512 slices  3.47B/9.47B positions  3.8M/s  15m elapsed, 26m left
   36.8%  3949/4512 slices  3.48B/9.47B positions  3.8M/s  15m elapsed, 26m left
   36.9%  3954/4512 slices  3.50B/9.47B positions  3.8M/s  15m elapsed, 26m left
   37.2%  3956/4512 slices  3.52B/9.47B positions  3.8M/s  15m elapsed, 26m left
   37.4%  3968/4512 slices  3.54B/9.47B positions  3.8M/s  15m elapsed, 26m left
   37.7%  3972/4512 slices  3.57B/9.47B positions  3.8M/s  16m elapsed, 26m left
   38.1%  3973/4512 slices  3.60B/9.47B positions  3.8M/s  16m elapsed, 26m left
   38.3%  3981/4512 slices  3.62B/9.47B positions  3.8M/s  16m elapsed, 25m left
